Project,Start Time,End Time,Duration
CLP,2023-11-23 14:06:24.964065,2023-11-23 14:06:53.834434,0:00:28.870369
CLP,2023-11-23 14:15:41.724861,2023-11-23 14:15:56.174894,0:00:14.450033
CLP,2023-11-23 14:22:54.463947,2023-11-23 14:23:21.844816,0:00:27.380869
CLP,2023-11-23 14:23:23.473589,2023-11-23 14:23:44.571887,0:00:21.098298
CLP,2023-11-23 14:23:46.127488,2023-11-23 14:23:49.864306,0:00:03.736818
CLP,2023-11-23 14:24:06.675244,2023-11-23 14:24:18.610130,0:00:11.934886
CLP,2023-11-23 14:24:19.735188,2023-11-23 14:24:23.453237,0:00:03.718049
CLP,2023-11-23 14:24:31.634972,2023-11-23 14:24:43.225989,0:00:11.591017
CLP,2023-11-23 14:24:44.414640,2023-11-23 14:24:45.980689,0:00:01.566049
CLP,2023-11-23 14:26:36.687557,2023-11-23 14:26:51.689800,0:00:15.002243
CLP,2023-11-23 14:43:21.710615,2023-11-23 14:43:26.995606,0:00:05.284991
CLP,2023-11-23 14:44:43.033498,2023-11-23 14:44:45.539451,0:00:02.505953
Total for CLP,,,0:02:27.139575
